,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
45,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.2,4,0.01,4045,0.0259796888889,0.69071955766,0.689732245037
46,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.2,4,0.01,4046,0.0158532377778,0.689627776827,0.689026328496
47,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.2,4,0.01,4047,0.0809626416667,0.689294410603,0.687027261938
48,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.2,4,0.01,4048,0.0599955594444,0.681525454351,0.676846357754
49,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.2,4,0.01,4049,0.017014065,0.691933306626,0.691636858668
50,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.2,4,0.02,4050,0.026433205,0.684467633281,0.680876908984
51,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.2,4,0.02,4051,0.0159728313889,0.690901124477,0.689459017345
52,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.2,4,0.02,4052,0.0829321408333,0.679361857687,0.676910373143
53,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.2,4,0.02,4053,0.0584480275,0.653241616488,0.632695761749
54,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.2,4,0.02,4054,0.0167420541667,0.691819449833,0.691169588906
55,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.2,4,0.05,4055,0.0253739644444,0.667723711048,0.659511804581
56,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.2,4,0.05,4056,0.0152499102778,0.691455624785,0.687680113316
57,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.2,4,0.05,4057,0.0826513619444,0.678584725516,0.656701122011
58,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.2,4,0.05,4058,0.0581211936111,0.657672539779,0.606467774936
59,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.2,4,0.05,4059,0.0165012872222,0.692305891003,0.693937335696
