drop,optimizer,warmup_lr,activation,residual,batch_size,epochs,dense,latent_dim,reduce_lr,model,learning_rate,run_id,training_loss,validation_loss,runtime_hours,run_id,training_loss,validation_loss,runtime_hours
0.7696,sgd,0,sigmoid,0,256,123,"[978, 978, 978]",512,0,vae,0.0093,360_2_336,1.005107855796814,0.6907947301864624,0.013030051666666667,360_2_336,1.005107855796814,0.6907947301864624,0.013030051666666667
0.8579,rmsprop,0,relu,1,256,194,"[978, 978]",128,0,ae,0.0246,360_5_287,0.21620135086554068,0.21071361442406972,0.015881995277777776,360_5_287,0.21620135086554068,0.21071361442406972,0.015881995277777776
0.394,rmsprop,0,tanh,0,256,141,"[978, 978]",2,0,vae,0.0248,360_4_227,5.746949503863299,5.700740038553874,0.012957348333333334,360_4_227,5.746949503863299,5.700740038553874,0.012957348333333334
0.3687,rmsprop,0,relu,0,1024,103,"[978, 978, 978, 978, 978]",128,0,vae,0.0419,360_3_150,nan,nan,0.009087882222222222,360_3_150,nan,nan,0.009087882222222222
0.8892,sgd,1,tanh,0,1024,137,"[978, 978]",32,1,vae,0.0613,360_1_133,1.4402532157191523,0.7598510384559631,0.008079776388888888,360_1_133,1.4402532157191523,0.7598510384559631,0.008079776388888888
0.7693,rmsprop,0,tanh,0,256,121,"[978, 978, 978]",2,0,vae,0.0015,360_2_60,0.6721034933019567,0.6715989669164022,0.013281014999999998,360_2_60,0.6721034933019567,0.6715989669164022,0.013281014999999998
0.5353,rmsprop,0,relu,1,256,145,"[978, 978, 978, 978, 978, 978]",512,0,vae,0.0205,360_5_77,nan,nan,0.02385176972222222,360_5_77,nan,nan,0.02385176972222222
0.8147,sgd,1,sigmoid,0,128,122,"[978, 978, 978]",2,0,vae,0.0087,360_2_0,0.7906886536986739,0.6769347858428955,0.0162134,360_2_0,0.7906886536986739,0.6769347858428955,0.0162134
0.2961,adam,1,tanh,0,32,129,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0325,360_1_301,nan,nan,0.10235116944444445,360_1_301,nan,nan,0.10235116944444445
0.7695,sgd,1,sigmoid,0,128,155,"[978, 978, 978]",32,0,ae,0.0605,360_2_309,0.03716176686463533,0.014648423294226328,0.018407576111111112,360_2_309,0.03716176686463533,0.014648423294226328,0.018407576111111112
0.18,adam,1,relu,0,512,153,"[978, 978, 978, 978, 978]",128,1,ae,0.0723,360_1_78,0.014572074842397814,0.014533569104969501,0.016368590277777775,360_1_78,0.014572074842397814,0.014533569104969501,0.016368590277777775
0.6858,rmsprop,0,sigmoid,0,256,119,"[1800, 600]",128,0,ae,0.0225,360_5_48,0.014591551414794393,0.014539698933561643,0.0106970025,360_5_48,0.014591551414794393,0.014539698933561643,0.0106970025
0.4788,sgd,0,tanh,1,64,142,"[978, 978, 978, 978, 978, 978]",512,0,ae,0.0105,360_4_218,0.2233186317593963,0.13846910516421,0.04034186666666666,360_4_218,0.2233186317593963,0.13846910516421,0.04034186666666666
0.1882,rmsprop,0,relu,1,256,145,"[978, 978, 978, 978]",8,0,vae,0.0395,360_5_70,nan,nan,0.017653738055555555,360_5_70,nan,nan,0.017653738055555555
0.478,rmsprop,0,sigmoid,1,32,179,"[978, 978]",128,0,vae,0.0992,360_1_306,nan,nan,0.06755460555555556,360_1_306,nan,nan,0.06755460555555556
0.7693,sgd,0,tanh,0,128,178,"[978, 978, 978]",32,0,vae,0.0087,360_2_7,0.9016720508646082,0.6977415633201599,0.02356176861111111,360_2_7,0.9016720508646082,0.6977415633201599,0.02356176861111111
0.0668,adam,0,sigmoid,1,128,101,"[978, 978, 978, 978, 978]",512,1,vae,0.0231,360_1_134,45.413553952817566,45.3667566426595,0.023839720833333335,360_1_134,45.413553952817566,45.3667566426595,0.023839720833333335
0.7696,rmsprop,0,relu,0,128,121,"[978, 978, 978]",512,1,ae,0.0061,360_2_67,0.014588289360205332,0.014528452282150587,0.017867745,360_2_67,0.014588289360205332,0.014528452282150587,0.017867745
0.0448,sgd,0,relu,0,32,164,"[978, 978]",32,0,vae,0.0248,360_4_220,0.6734523904765094,0.6728525026639303,0.051372686388888894,360_4_220,0.6734523904765094,0.6728525026639303,0.051372686388888894
0.8352,sgd,0,relu,0,1024,100,"[978, 978, 978]",512,0,vae,0.0694,360_3_157,nan,nan,0.007000849722222222,360_3_157,nan,nan,0.007000849722222222
0.6052,rmsprop,0,relu,1,256,147,"[978, 978, 978, 978, 978, 978]",8,0,vae,0.0201,360_5_280,nan,nan,0.02258028861111111,360_5_280,nan,nan,0.02258028861111111
0.7692,rmsprop,0,sigmoid,0,128,124,"[978, 978, 978]",512,0,vae,0.001,360_2_331,0.6715450889975937,0.6714095997810364,0.01996714138888889,360_2_331,0.6715450889975937,0.6714095997810364,0.01996714138888889
0.8026,rmsprop,1,relu,0,512,175,"[978, 978, 978, 978, 978, 978]",2,1,ae,0.0374,360_1_40,0.014570780097058526,0.014530785381793976,0.019630552222222222,360_1_40,0.014570780097058526,0.014530785381793976,0.019630552222222222
0.0757,rmsprop,0,tanh,1,256,141,"[978, 978, 978, 978]",8,0,ae,0.0211,360_5_274,0.2204591551091936,0.22038466135660809,0.0162005125,360_5_274,0.2204591551091936,0.22038466135660809,0.0162005125
0.7685,sgd,1,tanh,0,512,177,"[978, 978, 978]",128,1,vae,0.0009,360_2_103,1.4254164720464635,0.7178947925567627,0.013624600555555555,360_2_103,1.4254164720464635,0.7178947925567627,0.013624600555555555
0.3854,adam,0,tanh,0,128,169,"[978, 978, 978, 978, 978, 978]",8,1,vae,0.0997,360_5_84,7.066511687525996,3.6279566542307538,0.04410344972222223,360_5_84,7.066511687525996,3.6279566542307538,0.04410344972222223
0.8826,sgd,1,tanh,1,1024,183,"[978, 978, 978]",2,0,vae,0.0084,360_2_93,nan,nan,0.012110008611111112,360_2_93,nan,nan,0.012110008611111112
0.3055,rmsprop,0,relu,0,1024,103,"[978, 978, 978, 978, 978, 978]",128,0,ae,0.0569,360_3_168,0.1969394240114424,0.19684718549251556,0.010256825555555555,360_3_168,0.1969394240114424,0.19684718549251556,0.010256825555555555
0.8026,sgd,1,tanh,1,32,192,"[978, 978, 978]",512,0,vae,0.0004,360_2_58,nan,nan,0.07537087333333334,360_2_58,nan,nan,0.07537087333333334
0.794,rmsprop,0,relu,0,64,197,"[978, 978, 978, 978]",2,1,ae,0.0359,360_1_339,0.014565871821509467,0.014527632494767507,0.05268243416666667,360_1_339,0.014565871821509467,0.014527632494767507,0.05268243416666667
0.2209,rmsprop,0,tanh,0,256,195,"[978, 978, 978, 978]",8,1,vae,0.0208,360_5_228,0.8469096796600907,0.6914316336313884,0.023508269166666665,360_5_228,0.8469096796600907,0.6914316336313884,0.023508269166666665
0.5583,sgd,0,tanh,1,1024,112,"[978, 978, 978, 978]",2,1,vae,0.0248,360_4_288,nan,nan,0.008428986666666667,360_4_288,nan,nan,0.008428986666666667
0.451,rmsprop,1,tanh,1,64,186,"[978, 978, 978, 978, 978, 978]",512,1,vae,0.0514,360_1_168,nan,nan,0.07555105361111111,360_1_168,nan,nan,0.07555105361111111
0.8055,rmsprop,0,relu,0,1024,100,"[1800, 600]",128,0,vae,0.0982,360_3_339,nan,nan,0.006483221388888889,360_3_339,nan,nan,0.006483221388888889
0.7691,rmsprop,0,relu,0,512,189,"[978, 978, 978]",32,0,vae,0.0018,360_2_352,0.6715563605449818,0.6713292002677917,0.015524284166666666,360_2_352,0.6715563605449818,0.6713292002677917,0.015524284166666666
